"","team1","team2","winner","season","team1_seed","team2_seed"
"471","Oklahoma","Syracuse","Syracuse",2003,1,3
"472","Kentucky","IUPUI","Kentucky",2003,1,16
"473","Oregon","Utah","Utah",2003,8,9
"474","Wisconsin","Weber State","Wisconsin",2003,5,12
"475","Dayton","Tulsa","Tulsa",2003,4,13
"476","Missouri","Southern Illinois","Missouri",2003,6,11
"477","Marquette","Holy Cross","Marquette",2003,3,14
"478","Indiana","Alabama","Indiana",2003,7,10
"479","Pitt","Wagner","Pitt",2003,2,15
"480","Kentucky","Utah","Kentucky",2003,1,9
"481","Wisconsin","Tulsa","Wisconsin",2003,5,13
"482","Missouri","Marquette","Marquette",2003,6,3
"483","Indiana","Pitt","Pitt",2003,7,2
"484","Kentucky","Wisconsin","Kentucky",2003,1,5
"485","Marquette","Pitt","Marquette",2003,3,2
"486","Kentucky","Marquette","Marquette",2003,1,3
"487","Arizona","Vermont","Arizona",2003,1,16
"488","Cincinnati","Gonzaga","Gonzaga",2003,8,9
"489","Notre Dame","Milwaukee","Notre Dame",2003,5,12
"490","Illinois","Western Kentucky","Illinois",2003,4,13
"491","Creighton","Central Michigan","Central Michigan",2003,6,11
"492","Duke","Colorado State","Duke",2003,3,14
"493","Memphis","Arizona State","Arizona State",2003,7,10
"494","Kansas","Utah State","Kansas",2003,2,15
"495","Arizona","Gonzaga","Arizona",2003,1,9
"496","Notre Dame","Illinois","Notre Dame",2003,5,4
"497","Central Michigan","Duke","Duke",2003,11,3
"498","Arizona State","Kansas","Kansas",2003,10,2
"499","Arizona","Notre Dame","Arizona",2003,1,5
"500","Duke","Kansas","Kansas",2003,3,2
"501","Arizona","Kansas","Kansas",2003,1,2
"502","Syracuse","Texas","Syracuse",2003,3,1
"503","Marquette","Kansas","Kansas",2003,3,2
"504","Syracuse","Kansas","Syracuse",2003,3,2
"505","Kentucky","Florida A&M","Kentucky",2004,1,16
"506","Washington","Alabama-Birmingham","Alabama-Birmingham",2004,8,9
"507","Providence","Pacific","Pacific",2004,5,12
"508","Kansas","UIC","Kansas",2004,4,13
"509","Boston College","Utah","Boston College",2004,6,11
"510","Georgia Tech","Northern Iowa","Georgia Tech",2004,3,14
"511","Michigan State","Nevada","Nevada",2004,7,10
"512","Gonzaga","Valparaiso","Gonzaga",2004,2,15
"513","Kentucky","Alabama-Birmingham","Alabama-Birmingham",2004,1,9
"514","Pacific","Kansas","Kansas",2004,12,4
"515","Boston College","Georgia Tech","Georgia Tech",2004,6,3
"516","Nevada","Gonzaga","Nevada",2004,10,2
"517","Alabama-Birmingham","Kansas","Kansas",2004,9,4
"518","Georgia Tech","Nevada","Georgia Tech",2004,3,10
